,amount,coin,network,status,address,addressTag,txId,insertTime,transferType,confirmTimes,unlockConfirm,walletType,id,transactionFee,applyTime,info,confirmNo,txKey,account,exchange
0,15007.36529,USDC,TRX,1,TFFAcKZDKZFs2W69jCbi4eguBdrqXEN6Ce,,d07921b6b4e85536cb49cfdd914961c856f2160b9063752140d6f626f554d91b,1652512707000.0,0,1/1,0.0,0,,,,,,,2,binance
1,2.4429,BNB,BSC,1,0x8dbe9c44a42050da44f075149c1ff49b18bcaf3f,,0x7578ac6902452690535ec699abbc3b036fe00483fa921ccd41f9d889fdc73de7,1652498321000.0,0,15/15,0.0,0,,,,,,,2,binance
2,0.419,ETH,ETH,1,0x8dbe9c44a42050da44f075149c1ff49b18bcaf3f,,0x685d163fa8189f424d7b353ccdb0a57a3498a85929cea1761f2e2f56d4fe0bfd,1652498198000.0,0,12/12,0.0,0,,,,,,,2,binance
3,141.627306,ATOM,ATOM,1,cosmos1j8pp7zvcu9z8vd882m284j29fn2dszh05cqvf9,101804568,7B2F847FD1542C57462780765F2A080400172263C2150128AF8BA53DCCA35D7F,1652486740000.0,0,10/10,15.0,0,,,,,,,2,binance
4,929.9601933,USDT,BSC,1,0x8dbe9c44a42050da44f075149c1ff49b18bcaf3f,,Internal transfer 106502665267,1652453435000.0,1,1/15,0.0,0,,,,,,,2,binance
5,425560.42222742,USDT,BSC,1,0x8dbe9c44a42050da44f075149c1ff49b18bcaf3f,,Internal transfer 106485937900,1652445381000.0,1,1/15,0.0,0,,,,,,,2,binance
6,19.31623708,BNB,BSC,1,0x8dbe9c44a42050da44f075149c1ff49b18bcaf3f,,Internal transfer 106450526173,1652424762000.0,1,1/15,0.0,0,,,,,,,2,binance
7,64.21628656,BTC,BSC,1,0x8dbe9c44a42050da44f075149c1ff49b18bcaf3f,,Internal transfer 106450334657,1652424662000.0,1,1/15,0.0,0,,,,,,,2,binance
8,60021.98,XLM,XLM,6,GAJWYT5AIFS6LRUIDXGII4THBSW6DI3WLTULCDK63QN43L7DTSNENUNS,bc6bdca3b4b911ec,2aecd02c884fcccafdb00e8cb96cc79a85f03751377cbadbeee41bab90116c4f,,0,,,0,b1a57cebebfb4af3a6f56717bb22797c,0.02,2022-05-14 08:17:13,GCETHWILKC242GHWHCYAI4VAU4D4JZ637XHCAEABW6EVWWDILXNRMPJF,1.0,,2,binance
9,72794.98,XLM,XLM,6,GAHK7EEG2WWHVKDNT4CEQFZGKF2LGDSW2IVM4S5DP42RBW3K6BTODB4A,1061941801,Internal transfer 106561603995,,1,,,0,75dcce75062d41d7b74f00b8cbeb12a7,0,2022-05-14 00:03:36,,,,2,binance
10,243954.32288,UST,LUNA,6,terra1s7gxam60m650w29s64ckqrw902c9nshgeu3zm8,,8D6B947C30CBA2E9756E217D8FA8F51E9588E758D9E7B654A88B5FEDDC789F3D,,0,,,0,01aade8f85874b179d52e0bb5690f82c,1,2022-05-04 20:29:37,terra18vnrzlzm2c4xfsx382pj2xndqtt00rvhu24sqe,30.0,,2,binance
